prefix,n_spins,JZ,h,meanEnergy,stdEnergy,meanEnergyVariance,stdEnergyVariance,exact
ising,4,1,170.10256410256412,-680.399261780731,0.0003825350634605762,0.00016037512042472722,4.319315654253987e-06,-680.5043368106333
ising,4,1,177.74358974358975,-710.9537925200798,0.0003377510098757824,0.00015162355112179987,7.588235226393859e-06,-711.064393379013
ising,4,1,185.38461538461542,-739.9938696546894,0.026449751086196,28.125411840205427,1.5669748210427803,-741.6247836584605
ising,4,1,193.02564102564102,-769.5023235110295,0.041231128965551374,35.0203333670352,2.3573876766283526,-772.1854679914153
ising,4,1,200.66666666666669,-800.7639000986599,0.02738758510722946,20.593789678390802,1.3451857581556448,-802.7464127655516
ising,4,1,208.3076923076923,-830.0251416543019,0.05552525060419712,44.31650526319759,2.345410042036931,-833.3075893040151
ising,4,1,215.94871794871798,-859.8285217296394,0.0969477291540608,55.28970630453942,2.901930650842905,-863.8689729915171
ising,4,1,223.58974358974356,-890.2506742056053,0.05865898183093055,31.452629123827208,1.4985726026629809,-894.430542579781
ising,4,1,231.23076923076923,-921.7679718576677,0.061995673825180585,25.41677807062547,1.5015430601580797,-924.9922796308164
ising,4,1,238.8717948717949,-952.8193825111264,0.03139450154724616,18.2883597248537,1.2302530695474718,-955.5541680671337
ising,4,1,246.51282051282055,-489.0255850506969,7.76494441613847e-15,2.8930595789172516e-25,1.0749291663594615e-26,-986.1161938056747
ising,4,1,254.15384615384616,-1013.1871841044032,0.1431615579359299,60.55251367915132,2.5660251316628586,-1016.6783444578277
ising,4,1,261.7948717948718,-1043.0531088522573,0.07826119051262262,48.57525367145225,3.085306262700877,-1047.240609081994
ising,4,1,269.43589743589746,-538.2102923160537,0.035457565823954734,1.0957296378600443,0.0981175314278749,-1077.8029779783087
ising,4,1,277.0769230769231,-550.1538461538469,9.147600384870704e-14,8.606094301209789e-24,4.486927494988314e-25,-1108.3654425173424
ising,4,1,284.7179487179488,-569.66767930277,0.0063924851167237815,0.07648495635194402,0.0016796247178442805,-1138.9279949963698
ising,4,1,292.35897435897436,-1165.7937346007614,0.4907814325547018,615.6745933927616,24.619271981724733,-1169.4906285182428
ising,4,1,300.0,-1196.2232986639924,0.1914706920956875,55.3969112567373,1.7871168722656712,-1200.053336888732
ising,4,1,0.0,0.0,0.0,0.0,0.0,-16.0
ising,4,1,0.05263157894736842,-0.11331683357837508,0.0018004231879846988,0.004175651889798438,0.00013938648834236264,-16.000692499328267
ising,4,1,0.10526315789473684,-0.2581491892570585,0.002748924155074332,0.010465563034957165,0.0004478332528923876,-16.00276973607037
ising,4,1,0.15789473684210525,-0.457006217448492,0.004151900143950708,0.020521071181469026,0.0009187714976536004,-16.006236327407947
ising,4,1,0.21052631578947367,-0.6401163077554708,0.003396866150963665,0.01607852518225061,0.0009073900682198617,-16.011091834451587
ising,4,1,0.2631578947368421,-0.912456205507838,0.0032670430370278602,0.013953871775803995,0.0008251227266060032,-16.01734108950185
ising,4,1,0.3157894736842105,-1.141984783291424,0.0030563424730819717,0.011118581854515752,0.0006604875316713081,-16.024988925991142
ising,4,1,0.3684210526315789,-1.3834389334456092,0.0018702371969984172,0.004031881434292796,0.0002892241885228489,-16.034041238187193
ising,4,1,0.42105263157894735,-1.6235431960146982,0.0014421263846073967,0.0022275890427816388,0.00014833322822270338,-16.04450497299191
ising,4,1,0.4736842105263158,-1.8665398718664383,0.001188234689340225,0.0019232234191022231,0.00015327323336927166,-16.05638812003069
ising,4,1,0.5263157894736842,-2.095659184956124,0.0005275022010126899,0.0003202018017633843,3.483929701088027e-05,-16.069699699922367
ising,4,1,0.5789473684210527,-2.3244835082703785,0.01412595126253994,0.1928386980204701,0.192408094958892,-16.084449750608233
ising,4,1,0.631578947368421,-2.5158717949754528,0.0003444361123441179,0.00012884820627113446,7.216735220672052e-06,-16.100649311603696
ising,4,1,0.6842105263157894,-2.7319458662479907,0.00015773246944206866,3.6752983887376224e-05,1.977087294811981e-06,-16.118310406023475
ising,4,1,0.7368421052631579,-2.9395777981190045,0.00013862898062716212,2.5057521401600634e-05,1.431921648260893e-06,-16.137446020219958
ising,4,1,0.7894736842105263,-3.1542954498278366,0.00011422306358856907,1.7753161301638117e-05,5.497336330701745e-06,-16.158070080862654
ising,4,1,0.8421052631578947,-3.365045587517406,9.008926124251152e-05,2.5380606681031805e-05,1.8278455357737438e-05,-16.180197429281947
ising,4,1,0.8947368421052628,-3.5812617614588684,8.406546608822806e-05,9.82039509277277e-06,2.554789800775765e-07,-16.20384379288973
ising,4,1,0.9473684210526316,-3.787467172929928,5.382628591919632e-05,6.9153857605518825e-06,2.999559124921384e-06,-16.229025753489456
ising,4,1,1.0,-3.9989078341037927,5.9241737419513186e-05,1.2812422375464113e-05,1.0460083887344348e-05,-16.255760712284406
ising,6,1,2.0,-12.044468020825045,0.006523172857557181,0.04213613579605631,0.033270441707546845,-25.538778254414677
ising,6,1,9.641025641025642,-57.23888642167819,0.004482725361325836,0.028690493873709807,0.001047274567916972,-60.37476776224656
