prefix,n_spins,JZ,h,meanEnergy,stdEnergy,meanEnergyVariance,stdEnergyVariance
ising,4,1,37.0,-147.99955619571398,0.0001231336161301931,3.6727883470607356e-05,2.2755332971265336e-06
ising,4,1,38.0,-151.99659410704743,0.00012724654116083657,3.8584496501680354e-05,2.999913000787054e-06
ising,4,1,39.0,-155.999107600583,0.00011571013080834067,4.211313472576327e-05,2.80499719647631e-06
ising,4,1,40.0,-159.99872136716738,0.00012068119003579444,4.2340663150026135e-05,2.9861228572168225e-06
ising,4,1,41.0,-163.99882833518188,0.0001363065109586983,4.5618298275772025e-05,2.494352329435598e-06
ising,4,1,42.0,-167.9995034403135,0.0001246778011340238,4.923396827416661e-05,2.2082595359473297e-06
ising,4,1,43.0,-171.9994161805992,0.0001237250535164126,5.411823970691431e-05,3.9225130016835795e-06
ising,4,1,44.0,-175.99814124000062,0.00013605552913653485,4.766916478182005e-05,2.5785561675693862e-06
ising,4,1,45.0,-179.9979465329376,0.00014217429837162955,5.8799807699711446e-05,4.063873899032218e-06
ising,4,1,46.0,-183.99745654966125,0.0001496503275290843,5.4752319447007265e-05,2.705955755756031e-06
ising,4,1,47.0,-187.99816378893013,0.0001542267707952203,6.120515804222467e-05,3.843629235109117e-06
ising,4,1,48.0,-191.99648136460365,0.00015113292206984659,6.456428533307868e-05,3.6758252492591464e-06
ising,4,1,49.0,-195.9972031376451,0.00015502470913300183,6.276231070189391e-05,3.193576897973007e-06
ising,4,1,50.0,-199.99597499926796,0.00015378952231534146,6.28862948439642e-05,3.098539288402578e-06
ising,4,1,51.0,-203.99328050936535,0.0002105872550776696,7.883709171051286e-05,4.461367847331878e-06
ising,4,1,52.0,-207.99844100874265,0.00015483573797339876,7.722636807643552e-05,3.3890647219909914e-06
ising,4,1,53.0,-211.99455451260116,0.00020219940896255443,8.40818601631964e-05,3.6765937378580627e-06
ising,4,1,54.0,-215.99673937220308,0.00017005966630023723,8.652420099544239e-05,5.3581805867828205e-06
ising,4,1,55.0,-219.9964475391985,0.0001945475197689785,8.015163061120701e-05,3.6281327272350752e-06
ising,4,1,56.0,-223.99324150540002,0.00019834829448350943,9.469453056420303e-05,4.049169809046129e-06
ising,4,1,57.0,-227.99566981204447,0.00020383606642068825,9.359998667181239e-05,5.0577996596574244e-06
ising,4,1,58.0,-231.9963098373686,0.00020303846930372056,9.766941193741554e-05,4.890409134675739e-06
ising,4,1,59.0,-235.99748122854547,0.00020525274121122297,0.00010124574176390675,6.2485359210341275e-06
ising,4,1,60.0,-239.99493969324146,0.00020747722407859739,0.00010765001652034056,4.7712215801234755e-06
ising,4,1,61.0,-243.99610349549164,0.00023295395566464978,0.0001161877533541498,6.17406265251525e-06
ising,4,1,62.0,-247.99546867485213,0.00021291411369106289,0.00010301963552122845,4.610378329967724e-06
ising,4,1,63.0,-251.99504432393374,0.00023355473978912722,0.0001144864137288722,5.179946687382392e-06
ising,4,1,64.0,-255.99597342118102,0.0002274240325374162,0.00011573915823921897,5.658300355237633e-06
ising,4,1,65.0,-259.9924145256956,0.0002843778174807419,0.00013830592728012622,6.139103793879853e-06
ising,4,1,66.0,-263.98739315205046,0.00028595257367621354,0.0001506859437038708,5.656451747961892e-06
ising,4,1,67.0,-267.9971670617223,0.00024453364679142566,0.00012798865066799422,6.610875998307562e-06
ising,4,1,68.0,-271.99558246028903,0.0002533831029098398,0.00012801304246738343,5.845907260715676e-06
ising,4,1,69.0,-275.98657885730415,0.00036115214118380965,0.00017980629445743648,1.0886855459421407e-05
ising,4,1,70.0,-279.9948752590081,0.000250068866763349,0.00014492699625655607,6.236772104526565e-06
ising,4,1,71.0,-283.9957055866554,0.0002438015087461689,0.00013810785269688147,5.967103646663801e-06
